BV,b,l,SAO,SPtype,Vmag,name,J2000_a,J2000_d,RAhms,DEdms
0.07,-16.88,114.44,36042,A1Vn,6.7,         ,1.29125,45.22916667,45 13    45,-16.88114.44  0  5
1.1,-61.14,98.33,128569,gG9,6.29,         ,1.265833333,-0.503055556, 0 30    11,-61.1498.33  0  5
1.04,-65.93,93.75,128572,K0IIIbCN-0.5,4.61,33    Psc,1.33375,-5.7075, 5 42    27,-65.9393.75  0  5
0.9,-47.98,106.19,91701,G5III,5.51,86    Peg,1.425,13.39611111,13 23    46,-47.98106.19  0  5
0.67,-3.92,117.03,21085,G5V,5.96,         ,1.566666667,58.43666667,58 26    12,-3.92117.03  0  6
0.52,-66.38,321.61,214963,G1IV,5.7,         ,1.579166667,-49.075,49  4    30,-66.38321.61  0  6
-0.03,1.75,118.06,10978,B9III,5.59,10    Cas,1.610416667,64.19611111,64 11    46,1.75118.06  0  6
0.75,-32.83,111.26,73743,K0V,6.13,         ,1.653333333,29.02138889,29  1    17,-32.83111.26  0  6
0.38,-79.14,52.21,166053,A7V,6.18,         ,1.70875,-23.1075,23  6    27,-79.1452.21  0  6
0.14,-75.9,74.36,147090,A6Vn,6.19,         ,1.825833333,-17.38638889,17 23    11,-75.974.36  0  7
-0.14,-63.29,98.02,128595,B8IIIpSi,6.43,         ,1.93375,-2.548888889, 2 32    56,-63.2998.02  0  7
0.14,-79.07,55.56,166066,A2Vp:,5.94,         ,1.945,-22.50888889,22 30    32,-79.0755.56  0  7
1.12,-78.67,355.91,192367,K1III,5.68,         ,2.014583333,-33.52944444,33 31    46,-78.67355.91  0  8
1.38,-63.24,98.34,128602,K2III+F,6.07,         ,2.050416667,-2.447777778, 2 26    52,-63.2498.34  0  8
-0.11,-32.84,111.73,73765,B8IVpMnHg,2.06,21Alp And,2.097083333,29.09055556,29  5    26,-32.84111.73  0  8
1.04,-69.04,91.79,128604,gG8,5.99,         ,2.0725,-8.823888889, 8 49    26,-69.0491.79  0  8
0.48,-25.45,113.45,53677,F8IV,6.19,         ,2.170833333,36.62666667,36 37    36,-25.45113.45  0  8
1.67,-76.25,74.69,147103,M0III,6.06,         ,2.139166667,-17.5775,17 34    39,-76.2574.69  0  8
0.97,-36.42,110.97,73769,K0III,6.23,         ,2.2175,25.46277778,25 27    46,-36.42110.97  0  8
0.19,17,120.98,4048,A7IV,6.01,         ,2.334166667,79.71472222,79 42    53,17.0120.98  0  9
0.34,-3.27,117.52,21133,F2III-IV,2.27,11Bet Cas,2.294583333,59.14972222,59  8    59,-3.27117.52  0  9
1.04,-43.51,108.99,91734,G9III,5.53,87    Peg,2.26,18.21194444,18 12    43,-43.51108.99  0  9
0.74,-62.02,316.25,231943,G4IV,6.33,         ,2.26,-54.00194444,54  0     7,-62.02316.25  0  9
0.42,-80.63,25.24,166083,F2V,5.42,  Kap1Scl,2.3375,-27.98777778,27 59    16,-80.6325.24  0  9
1.03,-69.6,324.34,214983,K0III,3.88,  Eps Phe,2.352916667,-45.7475,45 44    51,-69.6324.34  0  9
-0.07,-50.43,106.87,91750,B9Vn,5.51,34    Psc,2.509583333,11.14555556,11  8    44,-50.43106.87  0 10
0.4,-16.21,115.52,36123,F2II,5.03,22    And,2.580416667,46.07222222,46  4    20,-16.21115.52  0 10
-0.08,-5.26,117.38,21162,B7IV,6.74,         ,2.62375,57.16555556,57  9    56,-5.26117.38  0 10
0.98,-66.03,96.99,128621,K1III,5.84,         ,2.578333333,-5.248611111, 5 14    55,-66.0396.99  0 10
1.05,-34.77,304.63,258215,G8III,5.28,  Gam3Oct,2.50875,-82.22388889,82 13    26,-34.77304.63  0 10
1.01,-72.6,87.69,147127,K0IV,5.85,         ,2.678333333,-12.58,12 34    48,-72.687.69  0 10
0.37,-43.58,306.98,255642,F2V+F6V,6.64,         ,2.660833333,-73.22444444,73 13    28,-43.58306.98  0 10
0.49,-75.06,82.24,147133,F7V,4.89, 6    Cet,2.81625,-15.46805556,15 28     5,-75.0682.24  0 11
1.34,-81.13,26.3,166103,K5III,5.41,  Kap2Scl,2.893333333,-27.79972222,27 47    59,-81.1326.3  0 11
0.44,-78.34,347.16,192388,F4V,5.25,  The Scl,2.933333333,-35.13305556,35  7    59,-78.34347.16  0 11
1.45,-14.2,116.16,36148,gK4,6.16,         ,2.99625,48.1525,48  9     9,-14.2116.16  0 11
1.48,-77.1,76.32,147144,K5III,5.25,         ,3.041666667,-17.93833333,17 56    18,-77.176.32  0 12
-0.13,-24.55,114.55,53725,B2V,6.73,         ,3.21,37.69333333,37 41    36,-24.55114.55  0 12
-0.23,-46.68,109.43,91781,B2IV,2.83,88Gam Peg,3.309166667,15.18361111,15 11     1,-46.68109.43  0 13
0.65,-35.12,112.56,73823,G0III,6.3,         ,3.35,26.98722222,26 59    14,-35.12112.56  0 13
0.31,-21.27,115.27,36173,F0IV,5.72,23    And,3.378333333,41.03527778,41  2     7,-21.27115.27  0 13
1.55,-81.49,38.28,166130,K5III,5.94,         ,3.425416667,-26.02194444,26  1    19,-81.4938.28  0 13
1.48,-81.54,36.52,166131,K5III,6.31,         ,3.434166667,-26.28472222,26 17     5,-81.5436.52  0 13
-0.01,-29.02,113.99,53744,A1V,6.25,         ,3.509583333,33.20611111,33 12    22,-29.02113.99  0 14
1.57,-41.83,111.3,91792,M2+III,4.8,89Chi Peg,3.650833333,20.20666667,20 12    24,-41.83111.3  0 14
1.62,-68.76,96.87,128655,M3+III,5.12,         ,3.615,-7.780555556, 7 46    50,-68.7696.87  0 14
1.72,-32.06,303.91,258217,M0-1III,5.77,         ,3.330833333,-84.99416667,84 59    39,-32.06303.91  0 13
1.66,-78.23,75.11,147169,M3III,4.44, 7    Cet,3.66,-18.93277778,18 55    58,-78.2375.11  0 14
-0.01,-39.81,111.92,73838,A1pSi,6.24,         ,3.73375,22.28416667,22 17     3,-39.81111.92  0 14
0.31,-52.98,107.86,109087,F0IV,5.79,35    Psc,3.745,8.820833333, 8 49    15,-52.98107.86  0 14
-0.08,-70.44,95.06,128660,B9V,5.75,         ,3.727083333,-9.569722222, 9 34    11,-70.4495.06  0 14
-0.02,-34.9,113.1,73842,A1Vn,6.35,         ,3.794166667,27.28305556,27 16    59,-34.9113.1  0 15
1.34,-78.99,345.8,192418,K3III,6.17,         ,3.7425,-34.90444444,34 54    16,-78.99345.8  0 14
-0.07,14.22,120.89,4071,B8Vnn,6.35,         ,4.058333333,76.95083333,76 57     3,14.22120.89  0 16
0.05,-18.82,116.23,36221,A2VpSi,6.15,         ,4.09,43.59472222,43 35    41,-18.82116.23  0 16
1.35,-81.18,1.53,192430,K5III,5.67,         ,4.037083333,-31.44638889,31 26    47,-81.181.53  0 16
1,-41.02,305.79,255650,G8-K0III,6.49,         ,3.98,-75.91138889,75 54    41,-41.02305.79  0 15
0.92,-53.64,108.28,109100,G8II-III,6.11,36    Psc,4.142083333,8.24, 8 14    24,-53.64108.28  0 16
0.88,-1.06,118.83,11084,G8III,5.74,         ,4.237916667,61.53333333,61 32     0,-1.06118.83  0 16
-0.09,-79.47,72.13,166167,B8III,6.47,         ,4.177083333,-20.21055556,20 12    38,-79.4772.13  0 16
-0.09,-14.53,117.01,36236,B7III,5.89,         ,4.287916667,47.9475,47 56    51,-14.53117.01  0 17
0.06,-23.7,115.62,53777,A2V,4.61,24The And,4.272916667,38.68166667,38 40    54,-23.7115.62  0 17
0.46,-38.2,305.07,255652,F3III,6.77,         ,4.204166667,-78.78055556,78 46    50,-38.2305.07  0 16
-0.13,-11.09,117.59,21273,O9IIInn,6.14,         ,4.429166667,51.43305556,51 25    59,-11.09117.59  0 17
0.37,-78.78,77.21,147205,F4IV-V,6.45,         ,4.385833333,-19.05111111,19  3     4,-78.7877.21  0 17
0.94,-60.07,105.89,109119,K0II,6.17,         ,4.44875,1.688888889, 1 41    20,-60.07105.89  0 17
0.05,-25.61,115.59,53798,A2V,4.52,25Sig And,4.582083333,36.78527778,36 47     7,-25.61115.59  0 18
1.03,-50.83,110,91832,K0III,6.05,         ,4.571666667,11.20583333,11 12    21,-50.83110.0  0 18
-0.08,-18.68,116.7,36256,B8V,6.11,26    And,4.675416667,43.79111111,43 47    28,-18.68116.7  0 18
-0.01,-30.84,114.79,53803,A0IV,5.87,         ,4.659583333,31.51722222,31 31     2,-30.84114.79  0 18
0.68,-69.4,99.29,128690,G0V,6.46,         ,4.674166667,-8.052777778, 8  3    10,-69.499.29  0 18
